STT,Tên chức năng,Tác nhân,Transaction,Mô tả,Phân loại BMT,Độ phức tạp,Đã update 3 phụ lục
19,"Tìm kiếm thông tin câu hỏi, vướng mắc đã xử lý","Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP",,Tìm kiếm trong kho dữ liệu các câu hỏi và câu trả lời đã được xử lý xong.,B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP nhập từ khóa tìm kiếm thông tin câu hỏi, vướng mắc đã xử lý;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng với điều kiện tìm kiếm.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP lọc theo thời gian để tìm kiếm thông tin câu hỏi, vướng mắc đã xử lý;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng theo điều kiện lọc.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP lọc theo lĩnh vực để tìm kiếm thông tin câu hỏi, vướng mắc đã xử lý;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng theo điều kiện lọc.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP/Cán bộ phê duyệt TW,BN,ĐP kết hợp nhiều điều kiện tìm kiếm thông tin câu hỏi, vướng mắc đã xử lý;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng theo các điều kiện lọc.",,,,
III,"Quản lý thông tin chương trình đào tạo, tập huấn",,,,,,
20,"Quản lý chương trình đào tạo, tập huấn","Cán bộ nghiệp vụ TW,BN,ĐP",,"Tổng hợp và quản lý danh sách các chương trình đào tạo/tập huấn đã, đang và sẽ diễn ra.",B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách chương trình đào tạo, tập huấn;
Hệ thống kiểm tra điều kiện và hiển thị danh sách chương trình đào tạo, tập huấn.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem chi tiết chương trình đào tạo, tập huấn;
Hệ thống kiểm tra điều kiện và hiển thị thông tin chi tiết chương trình đào tạo, tập huấn.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP thêm mới chương trình đào tạo, tập huấn;
Hệ thống kiểm tra điều kiện và hiển thị màn hình thêm mới chương trình đào tạo, tập huấn.",,,,
